epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,20835.8,0.47995,0.29765,0.84205,0.89443,0.88771,0.93029,0.80191,0.47473,0.33265,0.84247,0.00241,0.00241,0.00241
117,21134.5,0.47763,0.29465,0.84155,0.89817,0.88506,0.93032,0.80194,0.47465,0.33279,0.84251,0.002344,0.002344,0.002344
118,21432.1,0.4773,0.29411,0.84052,0.89862,0.88435,0.93037,0.80229,0.47453,0.3332,0.84227,0.002278,0.002278,0.002278
119,21729,0.47798,0.29409,0.84043,0.8949,0.88718,0.93059,0.8019,0.47434,0.3334,0.84211,0.002212,0.002212,0.002212
120,22034.4,0.47677,0.29281,0.84183,0.89587,0.88616,0.93047,0.80134,0.47428,0.33356,0.84211,0.002146,0.002146,0.002146
121,22338.7,0.4752,0.29136,0.84063,0.89685,0.88574,0.93019,0.80138,0.47413,0.33365,0.84204,0.00208,0.00208,0.00208
122,22633.7,0.4736,0.29009,0.84043,0.89817,0.88392,0.93024,0.80171,0.47407,0.33389,0.84207,0.002014,0.002014,0.002014
123,22930.6,0.47196,0.29003,0.84068,0.88935,0.89261,0.93031,0.80161,0.47402,0.33412,0.84213,0.001948,0.001948,0.001948
124,23229,0.47315,0.28904,0.84019,0.88702,0.89539,0.93039,0.80205,0.47391,0.33449,0.84212,0.001882,0.001882,0.001882
125,23532.3,0.47201,0.28716,0.84098,0.89056,0.89216,0.93026,0.80176,0.47378,0.33466,0.84218,0.001816,0.001816,0.001816
126,23829.2,0.46925,0.28537,0.84004,0.89208,0.88976,0.9299,0.80187,0.47363,0.33484,0.8422,0.00175,0.00175,0.00175
127,24127.2,0.4684,0.28513,0.83895,0.89047,0.89179,0.92989,0.80161,0.47351,0.33483,0.84214,0.001684,0.001684,0.001684
128,24420.7,0.46788,0.28302,0.83727,0.88929,0.89371,0.92976,0.80097,0.47345,0.33507,0.84204,0.001618,0.001618,0.001618
129,24722.7,0.46835,0.28235,0.83774,0.88949,0.8925,0.92923,0.80096,0.47336,0.33533,0.84198,0.001552,0.001552,0.001552
130,25022.5,0.46612,0.28062,0.83704,0.89054,0.89213,0.92895,0.80034,0.47326,0.3355,0.84188,0.001486,0.001486,0.001486
131,25320.3,0.46521,0.27971,0.83768,0.88975,0.89227,0.92865,0.80003,0.47315,0.33588,0.84188,0.00142,0.00142,0.00142
132,25613.5,0.46254,0.27789,0.83666,0.88864,0.89255,0.92838,0.80041,0.47306,0.33613,0.84186,0.001354,0.001354,0.001354
133,25908.4,0.46473,0.27852,0.83698,0.89052,0.89081,0.92822,0.8007,0.47295,0.33626,0.84181,0.001288,0.001288,0.001288
134,26206.1,0.46104,0.27513,0.83582,0.89156,0.8896,0.92787,0.79986,0.47285,0.33657,0.84179,0.001222,0.001222,0.001222
135,26500.5,0.4609,0.27506,0.83565,0.8916,0.88906,0.92755,0.79949,0.4728,0.33677,0.84179,0.001156,0.001156,0.001156
